Date,Holiday,Uptime,Peak_Period,Dispense
15-Jan-16,0,1,0,271296
16-Jan-16,0,1,0,410602
17-Jan-16,1,1,0,427919
18-Jan-16,0,1,0,316491
19-Jan-16,0,0.94,0,199728
20-Jan-16,0,1,0,307940
21-Jan-16,0,1,0,503245
22-Jan-16,0,0.37,0,9887
23-Jan-16,0,0,0,287
24-Jan-16,1,0.37,0,29544
25-Jan-16,0,1,0,33585
26-Jan-16,0,1,0,155015
27-Jan-16,0,1,0,98576
28-Jan-16,0,0.97,0,259404
29-Jan-16,0,1,1,258259
30-Jan-16,0,1,1,179344
31-Jan-16,1,1,1,280519
1-Feb-16,0,1,1,287302
2-Feb-16,0,1,1,169753
3-Feb-16,0,1,1,159038
4-Feb-16,0,1,1,478465
5-Feb-16,0,1,1,264477
6-Feb-16,0,1,1,485634
7-Feb-16,1,1,1,566081
8-Feb-16,0,0.62,1,113628
9-Feb-16,0,0.26,1,223245
10-Feb-16,0,1,0,277415
11-Feb-16,0,1,0,325363
12-Feb-16,0,1,0,352819
13-Feb-16,0,1,0,199311
14-Feb-16,1,0.38,0,391127
15-Feb-16,0,1,0,298966
16-Feb-16,0,0.38,0,451419
17-Feb-16,0,1,0,349140
18-Feb-16,0,1,0,303460
19-Feb-16,0,1,0,284246
20-Feb-16,0,0.43,0,189694
21-Feb-16,1,1,0,388610
22-Feb-16,0,1,0,120688
23-Feb-16,0,1,0,236626
24-Feb-16,0,1,0,176762
25-Feb-16,0,1,0,236563
26-Feb-16,0,0.91,0,179575
27-Feb-16,0,1,0,194954
28-Feb-16,1,1,0,298364
29-Feb-16,0,1,1,470742
1-Mar-16,0,1,1,452813
2-Mar-16,0,1,1,449460
3-Mar-16,0,1,1,350945
4-Mar-16,0,1,1,326889
5-Mar-16,0,1,1,447720
6-Mar-16,1,1,1,498439
7-Mar-16,0,1,1,451341
8-Mar-16,0,1,1,384153
9-Mar-16,0,0.88,1,276983
10-Mar-16,0,0.52,0,220567
11-Mar-16,0,0.94,0,215570
12-Mar-16,0,1,0,243548
13-Mar-16,1,0.9,0,353696
14-Mar-16,0,0.37,0,143578
15-Mar-16,0,0.21,0,735
16-Mar-16,0,0.52,0,267330
17-Mar-16,0,1,0,500359
18-Mar-16,0,0.61,0,154025
19-Mar-16,0,1,0,246325
20-Mar-16,1,1,0,314377
21-Mar-16,0,1,0,484723
22-Mar-16,0,0.93,0,276663
23-Mar-16,0,1,0,128451
24-Mar-16,0,1,0,60611
25-Mar-16,0,1,0,217745
26-Mar-16,0,1,0,280821
27-Mar-16,1,0.79,0,426322
28-Mar-16,0,0.74,0,87012
29-Mar-16,0,0.64,1,216600
30-Mar-16,0,1,1,123088
31-Mar-16,0,0.87,1,274823
1-Apr-16,0,1,1,181154
2-Apr-16,0,0.82,1,185360
3-Apr-16,1,1,1,231133
4-Apr-16,0,1,1,259608
5-Apr-16,0,1,1,88278
6-Apr-16,0,1,1,281619
7-Apr-16,0,1,1,480382
8-Apr-16,0,1,1,324156
9-Apr-16,0,1,1,337771
10-Apr-16,1,1,0,498113
11-Apr-16,0,0.97,0,208418
12-Apr-16,0,1,0,488264
13-Apr-16,0,0.65,0,365705
14-Apr-16,0,0.23,0,69
15-Apr-16,0,0,0,891
16-Apr-16,0,0,0,462
17-Apr-16,1,0,0,270
18-Apr-16,0,0,0,985
19-Apr-16,0,0.27,0,79600
20-Apr-16,0,1,0,54881
21-Apr-16,0,1,0,138970
22-Apr-16,0,1,0,33539
23-Apr-16,0,1,0,18275
24-Apr-16,1,1,0,104071
25-Apr-16,0,0.84,0,65540
26-Apr-16,0,0.55,0,99284
27-Apr-16,0,1,0,16301
28-Apr-16,0,1,0,128745
29-Apr-16,0,0.75,1,101829
30-Apr-16,0,0.41,1,77824
1-May-16,1,1,1,334665
2-May-16,0,0.31,1,35100
3-May-16,0,0.06,1,473
4-May-16,0,0.47,1,130440
5-May-16,0,1,1,173109
6-May-16,0,1,1,144511
7-May-16,0,0.85,1,73384
8-May-16,1,0,1,207
9-May-16,0,1,1,294494
10-May-16,0,1,0,281903
11-May-16,0,1,0,235823
12-May-16,0,1,0,227741
13-May-16,0,1,0,292705
14-May-16,0,1,0,266496
15-May-16,1,1,0,298481
16-May-16,0,0.48,0,176917
17-May-16,0,1,0,240241
18-May-16,0,1,0,150800
19-May-16,0,1,0,181792
20-May-16,0,1,0,317111
21-May-16,0,1,0,87687
22-May-16,1,0.75,0,72533
23-May-16,0,0.36,0,117532
24-May-16,0,0.42,0,66746
25-May-16,0,1,0,135086
26-May-16,0,0.3,0,558
27-May-16,0,0.49,0,95487
28-May-16,0,1,0,191920
29-May-16,1,1,1,226411
30-May-16,0,1,1,192494
31-May-16,0,0.98,1,323420
1-Jun-16,0,0.54,1,35381
2-Jun-16,0,0.51,1,254200
3-Jun-16,0,1,1,193009
4-Jun-16,0,0.69,1,199240
5-Jun-16,1,1,1,256657
6-Jun-16,0,1,1,215047
7-Jun-16,0,0.26,1,137891
8-Jun-16,0,0.9,1,296577
9-Jun-16,0,1,1,5779
10-Jun-16,0,0.37,0,132618
11-Jun-16,0,0.42,0,151757
12-Jun-16,1,0.13,0,107956
13-Jun-16,0,0.33,0,46216
14-Jun-16,0,0.98,0,108817
15-Jun-16,0,1,0,333147
16-Jun-16,0,0.5,0,5822
17-Jun-16,0,0.52,0,349868
18-Jun-16,0,0.52,0,203838
19-Jun-16,1,0.84,0,356571
20-Jun-16,0,0.16,0,52605
21-Jun-16,0,0.37,0,54943
22-Jun-16,0,0.49,0,114979
23-Jun-16,0,1,0,141414
24-Jun-16,0,0.9,0,296814
25-Jun-16,0,0.49,0,19371
26-Jun-16,1,1,0,209898
27-Jun-16,0,1,0,324644
28-Jun-16,0,0.27,0,3617
29-Jun-16,0,0,1,813
30-Jun-16,0,0.46,1,107105
1-Jul-16,0,0.77,1,225299
2-Jul-16,0,0.95,1,284258
3-Jul-16,1,0.48,1,308697
4-Jul-16,0,1,1,245467
5-Jul-16,0,1,1,255044
6-Jul-16,0,1,1,347181
7-Jul-16,0,0.59,1,146805
8-Jul-16,0,1,1,258127
9-Jul-16,0,1,1,175104
10-Jul-16,1,0.56,0,487416
11-Jul-16,0,0.36,0,503581
12-Jul-16,0,1,0,216209
13-Jul-16,0,1,0,503068
14-Jul-16,0,1,0,297407
15-Jul-16,0,1,0,228718
16-Jul-16,0,1,0,280761
17-Jul-16,1,1,0,270314
18-Jul-16,0,1,0,315051
19-Jul-16,0,0.62,0,302154
20-Jul-16,0,0.31,0,111596
21-Jul-16,0,1,0,157547
22-Jul-16,0,1,0,336533
23-Jul-16,0,1,0,239172
24-Jul-16,1,1,0,521607
25-Jul-16,0,0.96,0,349605
26-Jul-16,0,0.56,0,295251
27-Jul-16,0,1,0,178812
28-Jul-16,0,1,0,137702
29-Jul-16,0,0.92,1,336342
30-Jul-16,0,1,1,345333
31-Jul-16,1,1,1,410137
1-Aug-16,0,1,1,341972
2-Aug-16,0,1,1,565470
3-Aug-16,0,1,1,381290
4-Aug-16,0,1,1,359321
5-Aug-16,0,0.61,1,162004
6-Aug-16,0,0.49,1,250491
7-Aug-16,1,0.17,1,195531
8-Aug-16,0,0.69,1,878699
9-Aug-16,0,1,1,390333
10-Aug-16,0,1,0,131301
11-Aug-16,0,1,0,57975
12-Aug-16,0,0.96,0,130795
13-Aug-16,0,0.75,0,50852
14-Aug-16,1,1,0,160379
15-Aug-16,0,1,0,78443
16-Aug-16,0,1,0,888
17-Aug-16,0,1,0,10553
18-Aug-16,0,0.13,0,68
19-Aug-16,0,0.84,0,262182
20-Aug-16,0,0.59,0,303110
21-Aug-16,1,0.01,0,910
22-Aug-16,0,0.56,0,179116
23-Aug-16,0,1,0,258233
24-Aug-16,0,0.85,0,373480
25-Aug-16,0,0,0,913
26-Aug-16,0,1,0,158384
27-Aug-16,0,1,0,128574
28-Aug-16,1,0.73,0,7738
29-Aug-16,0,0.57,1,74120
30-Aug-16,0,1,1,139743
31-Aug-16,0,0.76,1,432396
1-Jun-15,0,1,1,107357
2-Jun-15,0,1,1,101673
3-Jun-15,0,1,1,140377
4-Jun-15,0,0.33,1,539
5-Jun-15,0,0.2,1,15504
6-Jun-15,0,1,1,72255
7-Jun-15,1,1,1,74914
8-Jun-15,0,1,1,124110
9-Jun-15,0,1,1,76922
10-Jun-15,0,1,0,134852
11-Jun-15,0,1,0,67826
12-Jun-15,0,1,0,42122
13-Jun-15,0,1,0,25943
14-Jun-15,1,1,0,63051
15-Jun-15,0,1,0,51427
16-Jun-15,0,1,0,52835
17-Jun-15,0,1,0,52231
18-Jun-15,0,1,0,59628
19-Jun-15,0,0.97,0,54821
20-Jun-15,0,0.89,0,66303
21-Jun-15,1,0.93,0,31906
22-Jun-15,0,1,0,64914
23-Jun-15,0,1,0,56124
24-Jun-15,0,0.96,0,58079
25-Jun-15,0,1,0,57222
26-Jun-15,0,1,0,105990
27-Jun-15,0,0.94,0,86579
28-Jun-15,1,1,0,65479
29-Jun-15,0,1,1,107542
30-Jun-15,0,1,1,62584
1-Jul-15,0,1,1,148559
2-Jul-15,0,1,1,80868
3-Jul-15,0,1,1,130539
4-Jul-15,0,1,1,121476
5-Jul-15,1,1,1,140376
6-Jul-15,0,0.98,1,134440
7-Jul-15,0,0.96,1,114334
8-Jul-15,0,1,1,150101
9-Jul-15,0,0.43,1,806
10-Jul-15,0,0.29,0,86853
11-Jul-15,0,1,0,108901
12-Jul-15,1,1,0,163551
13-Jul-15,0,1,0,115635
14-Jul-15,0,1,0,151986
15-Jul-15,0,0.94,0,43922
16-Jul-15,0,0.42,0,139
17-Jul-15,0,0,0,430
18-Jul-15,0,0.33,0,26409
19-Jul-15,1,1,0,128536
20-Jul-15,0,1,0,60751
21-Jul-15,0,1,0,104947
22-Jul-15,0,0.98,0,101318
23-Jul-15,0,0.97,0,160618
24-Jul-15,0,1,0,87029
25-Jul-15,0,1,0,110813
26-Jul-15,1,1,0,72501
27-Jul-15,0,1,0,204015
28-Jul-15,0,0.97,0,28544
29-Jul-15,0,1,1,93812
30-Jul-15,0,1,1,172035
31-Jul-15,0,1,1,195439
1-Aug-15,0,1,1,184765
2-Aug-15,1,0.93,1,229313
3-Aug-15,0,1,1,254525
4-Aug-15,0,0.91,1,248953
5-Aug-15,0,0.92,1,296251
6-Aug-15,0,1,1,184244
7-Aug-15,0,0.41,1,148361
8-Aug-15,0,1,1,95528
9-Aug-15,1,0.98,1,102728
10-Aug-15,0,0.69,0,78533
11-Aug-15,0,0.81,0,69023
12-Aug-15,0,0.1,0,742
13-Aug-15,0,1,0,137800
14-Aug-15,0,0.82,0,110529
15-Aug-15,0,0,0,421
16-Aug-15,1,0.49,0,169505
17-Aug-15,0,1,0,172904
18-Aug-15,0,0.9,0,158571
19-Aug-15,0,0.94,0,81312
20-Aug-15,0,0.03,0,119
21-Aug-15,0,0,0,911
22-Aug-15,0,0,0,62
23-Aug-15,1,0.02,0,337
24-Aug-15,0,0.26,0,71003
25-Aug-15,0,0.98,0,101612
26-Aug-15,0,0.91,0,74965
27-Aug-15,0,1,0,97856
28-Aug-15,0,0.96,0,108030
29-Aug-15,0,1,1,58872
30-Aug-15,1,1,1,110673
31-Aug-15,0,1,1,134718
1-Sep-15,0,0.95,1,107627
2-Sep-15,0,0.95,1,179485
3-Sep-15,0,0,1,844
4-Sep-15,0,0.74,1,190727
5-Sep-15,0,1,1,114968
6-Sep-15,1,1,1,138049
7-Sep-15,0,0.98,1,282697
8-Sep-15,0,0.98,1,325718
9-Sep-15,0,0.95,1,204306
10-Sep-15,0,1,0,381041
11-Sep-15,0,1,0,257776
12-Sep-15,0,0.9,0,99669
13-Sep-15,1,0.24,0,15100
14-Sep-15,0,0,0,740
15-Sep-15,0,0.3,0,272186
16-Sep-15,0,0.98,0,340078
17-Sep-15,0,0.97,0,249598
18-Sep-15,0,1,0,213566
19-Sep-15,0,1,0,133436
20-Sep-15,1,1,0,174963
21-Sep-15,0,0.9,0,243596
22-Sep-15,0,0.5,0,214032
23-Sep-15,0,0.93,0,272946
24-Sep-15,0,1,0,182076
25-Sep-15,0,0.76,0,133090
26-Sep-15,0,0,0,990
27-Sep-15,1,0.17,0,50356
28-Sep-15,0,0.43,0,143775
29-Sep-15,0,0.45,1,55679
30-Sep-15,0,0.28,1,62347
1-Oct-15,0,0.45,1,20274
2-Oct-15,0,0.07,1,181
3-Oct-15,0,0,1,884
4-Oct-15,1,0,1,268
5-Oct-15,0,0.38,1,165
6-Oct-15,0,0,1,368
7-Oct-15,0,0.31,1,2879
8-Oct-15,0,0.36,1,784
9-Oct-15,0,0.96,1,3015
10-Oct-15,0,0,0,633
11-Oct-15,1,0.69,0,8734
12-Oct-15,0,1,0,149647
13-Oct-15,0,0.65,0,96443
14-Oct-15,0,0.96,0,137903
15-Oct-15,0,0.96,0,90178
16-Oct-15,0,0.95,0,56536
17-Oct-15,0,0.82,0,119821
18-Oct-15,1,0,0,329
19-Oct-15,0,0.22,0,2268
20-Oct-15,0,0.99,0,99904
21-Oct-15,0,0,0,15
22-Oct-15,0,0.48,0,34192
23-Oct-15,0,1,0,97223
24-Oct-15,0,0.85,0,37043
25-Oct-15,1,1,0,74980
26-Oct-15,0,0.84,0,97379
27-Oct-15,0,0,0,457
28-Oct-15,0,0.16,0,7367
29-Oct-15,0,0.84,1,23260
30-Oct-15,0,1,1,103692
31-Oct-15,0,0.34,1,5420
1-Nov-15,1,0,1,280
2-Nov-15,0,0.58,1,136253
3-Nov-15,0,1,1,99916
4-Nov-15,0,1,1,212311
5-Nov-15,0,1,1,62479
6-Nov-15,0,1,1,219063
7-Nov-15,0,1,1,137663
8-Nov-15,1,1,1,164088
9-Nov-15,0,0.97,1,126218
10-Nov-15,0,1,0,72953
11-Nov-15,0,1,0,25756
12-Nov-15,0,1,0,3532
13-Nov-15,0,1,0,9557
14-Nov-15,0,1,0,46525
15-Nov-15,1,1,0,25762
16-Nov-15,0,1,0,69811
17-Nov-15,0,1,0,88171
18-Nov-15,0,1,0,109329
19-Nov-15,0,1,0,106273
20-Nov-15,0,1,0,90223
21-Nov-15,0,0.98,0,97806
22-Nov-15,1,1,0,91815
23-Nov-15,0,1,0,142285
24-Nov-15,0,1,0,215792
25-Nov-15,0,1,0,109056
26-Nov-15,0,1,0,74157
27-Nov-15,0,0.97,0,67733
28-Nov-15,0,1,0,108093
29-Nov-15,1,1,1,81195
30-Nov-15,0,1,1,109261
1-Dec-15,0,1,1,74770
2-Dec-15,0,1,1,145610
3-Dec-15,0,1,1,166230
4-Dec-15,0,1,1,155466
5-Dec-15,0,0.96,1,118876
6-Dec-15,1,1,1,98928
7-Dec-15,0,1,1,122279
8-Dec-15,0,0.26,1,133
9-Dec-15,0,0.41,1,54051
10-Dec-15,0,1,0,88466
11-Dec-15,0,1,0,98302
12-Dec-15,0,1,0,119263
13-Dec-15,1,1,0,102959
14-Dec-15,0,0.74,0,87425
15-Dec-15,0,0.48,0,102026
16-Dec-15,0,1,0,177316
17-Dec-15,0,1,0,86007
18-Dec-15,0,1,0,138208
19-Dec-15,0,1,0,111982
20-Dec-15,1,1,0,68632
21-Dec-15,0,1,0,120076
22-Dec-15,0,0.82,0,62103
23-Dec-15,0,0.37,0,56821
24-Dec-15,0,1,0,102508
25-Dec-15,0,1,0,53880
26-Dec-15,0,0.58,0,44856
27-Dec-15,1,0,0,847
28-Dec-15,0,0.1,0,71740
29-Dec-15,0,0,1,658
30-Dec-15,0,0,1,226
31-Dec-15,0,0,1,512
1-Jan-16,0,0.09,1,245
2-Jan-16,0,1,1,119748
3-Jan-16,1,1,1,110583
4-Jan-16,0,1,1,112997
5-Jan-16,0,1,1,76229
6-Jan-16,0,1,1,157278
7-Jan-16,0,0.97,1,95165
8-Jan-16,0,0.93,1,56088
9-Jan-16,0,0.36,1,685
10-Jan-16,1,0,0,467
11-Jan-16,0,0.39,0,111339
12-Jan-16,0,0.9,0,124173
13-Jan-16,0,0.9,0,82227
14-Jan-16,0,0.39,0,51798
15-Jan-16,0,1,0,70966
16-Jan-16,0,1,0,64198
17-Jan-16,1,1,0,60270
18-Jan-16,0,1,0,53386
19-Jan-16,0,1,0,48681
20-Jan-16,0,1,0,51687
21-Jan-16,0,1,0,60190
22-Jan-16,0,1,0,232756
23-Jan-16,0,1,0,104977
24-Jan-16,1,1,0,155897
25-Jan-16,0,1,0,93301
26-Jan-16,0,1,0,85375
27-Jan-16,0,1,0,113510
28-Jan-16,0,1,0,69996
29-Jan-16,0,1,1,80436
30-Jan-16,0,1,1,84942
31-Jan-16,1,1,1,82657
1-Feb-16,0,1,1,82139
2-Feb-16,0,1,1,120996
3-Feb-16,0,1,1,127455
4-Feb-16,0,1,1,152611
5-Feb-16,0,1,1,157023
6-Feb-16,0,1,1,138694
7-Feb-16,1,1,1,91647
8-Feb-16,0,1,1,237838
9-Feb-16,0,0.7,1,63012
10-Feb-16,0,0.67,0,166588
11-Feb-16,0,1,0,118725
12-Feb-16,0,1,0,143703
13-Feb-16,0,1,0,84641
14-Feb-16,1,1,0,60973
15-Feb-16,0,1,0,194663
16-Feb-16,0,1,0,157209
17-Feb-16,0,1,0,109547
18-Feb-16,0,1,0,96965
19-Feb-16,0,1,0,125292
20-Feb-16,0,0.98,0,76036
21-Feb-16,1,1,0,93408
22-Feb-16,0,1,0,133219
23-Feb-16,0,0.84,0,51718
24-Feb-16,0,1,0,142667
25-Feb-16,0,0.92,0,98645
26-Feb-16,0,1,0,70383
27-Feb-16,0,1,0,70477
28-Feb-16,1,1,0,38384
29-Feb-16,0,1,1,100731
1-Mar-16,0,1,1,167536
2-Mar-16,0,1,1,146890
3-Mar-16,0,1,1,130008
4-Mar-16,0,1,1,220712
5-Mar-16,0,1,1,112767
6-Mar-16,1,1,1,132966
7-Mar-16,0,0.67,1,85921
8-Mar-16,0,1,1,165806
9-Mar-16,0,1,1,94753
10-Mar-16,0,1,0,138869
11-Mar-16,0,1,0,82188
12-Mar-16,0,1,0,106668
13-Mar-16,1,1,0,51068
14-Mar-16,0,0.84,0,286354
15-Mar-16,0,1,0,174079
16-Mar-16,0,1,0,256394
17-Mar-16,0,0.93,0,250320
18-Mar-16,0,0.9,0,63372
19-Mar-16,0,0.91,0,139511
20-Mar-16,1,1,0,117289
21-Mar-16,0,1,0,168045
22-Mar-16,0,1,0,124576
23-Mar-16,0,1,0,11469
24-Mar-16,0,1,0,8773
25-Mar-16,0,1,0,61184
26-Mar-16,0,1,0,62366
27-Mar-16,1,1,0,66336
28-Mar-16,0,1,0,57516
29-Mar-16,0,0.96,1,219233
30-Mar-16,0,0.97,1,99751
31-Mar-16,0,0.94,1,117254
1-Apr-16,0,1,1,124318
2-Apr-16,0,0.9,1,318083
3-Apr-16,1,1,1,105262
4-Apr-16,0,1,1,173393
5-Apr-16,0,0.94,1,101351
6-Apr-16,0,1,1,211431
7-Apr-16,0,1,1,109862
8-Apr-16,0,0.96,1,140690
9-Apr-16,0,0.97,1,105722
10-Apr-16,1,1,0,172485
11-Apr-16,0,1,0,172832
12-Apr-16,0,0.97,0,157023
13-Apr-16,0,0.86,0,98507
14-Apr-16,0,0.96,0,150254
15-Apr-16,0,1,0,132208
16-Apr-16,0,0.92,0,144489
17-Apr-16,1,1,0,89260
18-Apr-16,0,1,0,128242
19-Apr-16,0,0.96,0,65560
20-Apr-16,0,0.97,0,180065
21-Apr-16,0,0.88,0,95854
22-Apr-16,0,1,0,141437
23-Apr-16,0,1,0,62845
24-Apr-16,1,0,0,557
25-Apr-16,0,0.8,0,37325
26-Apr-16,0,0.89,0,99736
27-Apr-16,0,0.81,0,94871
28-Apr-16,0,0.92,0,146710
29-Apr-16,0,0.96,1,177647
30-Apr-16,0,1,1,154364
1-May-16,1,1,1,188117
2-May-16,0,0.93,1,217998
3-May-16,0,0.92,1,203501
4-May-16,0,0.95,1,149789
